"time","Vx","Vy","x","y","der(Vx)","der(Vy)","der(x)","der(y)","ax","g","stair1x","stair1y","wall"
0.2615076717811875,4.973849232821881,-2.565390260173449,1.304119045785892,9.664565382923581,-0.1,-9.810000000000001,4.973849232821881,-2.565390260173449,-0.1,9.810000000000001,30,5,80
0.2801867911941294,4.971981320880587,-2.74863242161441,1.397008724072639,9.614934750805459,-0.1,-9.810000000000001,4.971981320880587,-2.74863242161441,-0.1,9.810000000000001,30,5,80
0.2988659106070714,4.970113408939293,-2.931874583055371,1.489863511409183,9.5618813164723,-0.1,-9.810000000000001,4.970113408939293,-2.931874583055371,-0.1,9.810000000000001,30,5,80
0.3175450300200133,4.968245496997999,-3.115116744496331,1.582683407795521,9.505405079924103,-0.1,-9.810000000000001,4.968245496997999,-3.115116744496331,-0.1,9.810000000000001,30,5,80
0.3362241494329553,4.966377585056705,-3.298358905937292,1.675468413231656,9.445506041160865,-0.1,-9.810000000000001,4.966377585056705,-3.298358905937292,-0.1,9.810000000000001,30,5,80
0.3549032688458973,4.96450967311541,-3.481601067378253,1.768218527717586,9.382184200182591,-0.1,-9.810000000000001,4.96450967311541,-3.481601067378253,-0.1,9.810000000000001,30,5,80
0.3735823882588392,4.962641761174116,-3.664843228819213,1.860933751253312,9.315439556989276,-0.1,-9.810000000000001,4.962641761174116,-3.664843228819213,-0.1,9.810000000000001,30,5,80
0.3922615076717812,4.960773849232822,-3.848085390260175,1.953614083838834,9.245272111580917,-0.1,-9.810000000000001,4.960773849232822,-3.848085390260175,-0.1,9.810000000000001,30,5,80
0.4109406270847232,4.958905937291528,-4.031327551701136,2.046259525474151,9.171681863957513,-0.1,-9.810000000000001,4.958905937291528,-4.031327551701136,-0.1,9.810000000000001,30,5,80
0.4296197464976651,4.957038025350234,-4.214569713142096,2.138870076159264,9.09466881411907,-0.1,-9.810000000000001,4.957038025350234,-4.214569713142096,-0.1,9.810000000000001,30,5,80
0.4482988659106071,4.955170113408939,-4.397811874583057,2.231445735894173,9.014232962065584,-0.1,-9.810000000000001,4.955170113408939,-4.397811874583057,-0.1,9.810000000000001,30,5,80
0.466977985323549,4.953302201467645,-4.581054036024017,2.323986504678877,8.930374307797058,-0.1,-9.810000000000001,4.953302201467645,-4.581054036024017,-0.1,9.810000000000001,30,5,80
0.485657104736491,4.95143428952635,-4.764296197464978,2.416492382513377,8.843092851313493,-0.1,-9.810000000000001,4.95143428952635,-4.764296197464978,-0.1,9.810000000000001,30,5,80
0.5043362241494329,4.949566377585057,-4.947538358905939,2.508963369397673,8.752388592614885,-0.1,-9.810000000000001,4.949566377585057,-4.947538358905939,-0.1,9.810000000000001,30,5,80
0.5230153435623749,4.947698465643763,-5.130780520346899,2.601399465331765,8.658261531701237,-0.1,-9.810000000000001,4.947698465643763,-5.130780520346899,-0.1,9.810000000000001,30,5,80
0.5416944629753169,4.945830553702468,-5.31402268178786,2.693800670315652,8.56071166857255,-0.1,-9.810000000000001,4.945830553702468,-5.31402268178786,-0.1,9.810000000000001,30,5,80
0.5603735823882589,4.943962641761174,-5.497264843228821,2.786166984349335,8.459739003228821,-0.1,-9.810000000000001,4.943962641761174,-5.497264843228821,-0.1,9.810000000000001,30,5,80
0.5790527018012008,4.94209472981988,-5.680507004669781,2.878498407432814,8.35534353567005,-0.1,-9.810000000000001,4.94209472981988,-5.680507004669781,-0.1,9.810000000000001,30,5,80
0.5977318212141428,4.940226817878585,-5.863749166110742,2.970794939566089,8.24752526589624,-0.1,-9.810000000000001,4.940226817878585,-5.863749166110742,-0.1,9.810000000000001,30,5,80
0.6164109406270847,4.938358905937291,-6.046991327551702,3.063056580749158,8.13628419390739,-0.1,-9.810000000000001,4.938358905937291,-6.046991327551702,-0.1,9.810000000000001,30,5,80
0.6350900600400267,4.936490993995998,-6.230233488992663,3.155283330982024,8.021620319703498,-0.1,-9.810000000000001,4.936490993995998,-6.230233488992663,-0.1,9.810000000000001,30,5,80
0.6537691794529686,4.934623082054703,-6.413475650433623,3.247475190264686,7.903533643284565,-0.1,-9.810000000000001,4.934623082054703,-6.413475650433623,-0.1,9.810000000000001,30,5,80
0.6724482988659106,4.932755170113409,-6.596717811874584,3.339632158597143,7.78202416465059,-0.1,-9.810000000000001,4.932755170113409,-6.596717811874584,-0.1,9.810000000000001,30,5,80
0.6911274182788526,4.930887258172115,-6.779959973315545,3.431754235979396,7.657091883801576,-0.1,-9.810000000000001,4.930887258172115,-6.779959973315545,-0.1,9.810000000000001,30,5,80
0.7098065376917946,4.92901934623082,-6.963202134756506,3.523841422411445,7.528736800737522,-0.1,-9.810000000000001,4.92901934623082,-6.963202134756506,-0.1,9.810000000000001,30,5,80
0.7284856571047365,4.927151434289526,-7.146444296197466,3.615893717893289,7.396958915458427,-0.1,-9.810000000000001,4.927151434289526,-7.146444296197466,-0.1,9.810000000000001,30,5,80
0.7471647765176784,4.925283522348232,-7.329686457638426,3.707911122424929,7.261758227964291,-0.1,-9.810000000000001,4.925283522348232,-7.329686457638426,-0.1,9.810000000000001,30,5,80
0.7658438959306204,4.923415610406938,-7.512928619079387,3.799893636006364,7.123134738255113,-0.1,-9.810000000000001,4.923415610406938,-7.512928619079387,-0.1,9.810000000000001,30,5,80
0.7845230153435624,4.921547698465643,-7.696170780520348,3.891841258637596,6.981088446330891,-0.1,-9.810000000000001,4.921547698465643,-7.696170780520348,-0.1,9.810000000000001,30,5,80
0.8032021347565044,4.919679786524349,-7.879412941961309,3.983753990318623,6.835619352191628,-0.1,-9.810000000000001,4.919679786524349,-7.879412941961309,-0.1,9.810000000000001,30,5,80
0.8218812541694464,4.917811874583055,-8.062655103402269,4.075631831049447,6.686727455837323,-0.1,-9.810000000000001,4.917811874583055,-8.062655103402269,-0.1,9.810000000000001,30,5,80
0.8405603735823882,4.915943962641761,-8.245897264843229,4.167474780830064,6.534412757267979,-0.1,-9.810000000000001,4.915943962641761,-8.245897264843229,-0.1,9.810000000000001,30,5,80
0.8592394929953302,4.914076050700467,-8.429139426284191,4.259282839660479,6.378675256483592,-0.1,-9.810000000000001,4.914076050700467,-8.429139426284191,-0.1,9.810000000000001,30,5,80
0.8779186124082722,4.912208138759172,-8.612381587725151,4.351056007540689,6.219514953484163,-0.1,-9.810000000000001,4.912208138759172,-8.612381587725151,-0.1,9.810000000000001,30,5,80
0.8965977318212142,4.910340226817878,-8.795623749166111,4.442794284470695,6.056931848269694,-0.1,-9.810000000000001,4.910340226817878,-8.795623749166111,-0.1,9.810000000000001,30,5,80
0.9152768512341561,4.908472314876584,-8.978865910607073,4.534497670450496,5.890925940840185,-0.1,-9.810000000000001,4.908472314876584,-8.978865910607073,-0.1,9.810000000000001,30,5,80
0.933955970647098,4.906604402935289,-9.162108072048033,4.626166165480093,5.721497231195634,-0.1,-9.810000000000001,4.906604402935289,-9.162108072048033,-0.1,9.810000000000001,30,5,80
0.95263509006004,4.904736490993995,-9.345350233488993,4.717799769559486,5.548645719336041,-0.1,-9.810000000000001,4.904736490993995,-9.345350233488993,-0.1,9.810000000000001,30,5,80
0.971314209472982,4.902868579052702,-9.528592394929955,4.809398482688675,5.372371405261408,-0.1,-9.810000000000001,4.902868579052702,-9.528592394929955,-0.1,9.810000000000001,30,5,80
0.989993328885924,4.901000667111407,-9.711834556370915,4.900962304867659,5.192674288971732,-0.1,-9.810000000000001,4.901000667111407,-9.711834556370915,-0.1,9.810000000000001,30,5,80
1.008672448298866,4.899132755170113,-9.895076717811875,4.992491236096439,5.009554370467018,-0.1,-9.810000000000001,4.899132755170113,-9.895076717811875,-0.1,9.810000000000001,30,5,80
1.009637554752632,4.899036244524736,-9.904544412123318,4.997219374164786,4.999999999399707,-0.1,-9.810000000000001,4.899036244524736,-9.904544412123318,-0.1,9.810000000000001,30,5,80
